time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-17T03:54:30.509Z,-4.2956,152.9991,21.93,4.7,mb,,118,0.839,0.61,us,us70007rmp,2020-02-17T04:37:18.040Z,"19km N of Taron, Papua New Guinea",earthquake,9.5,6.1,0.089,38,reviewed,us,us
2020-02-17T03:40:51.154Z,35.9175,140.2234,35,4.6,mb,,96,0.313,0.7,us,us70007rmf,2020-02-19T04:37:45.950Z,"4km ENE of Ryugasaki, Japan",earthquake,4.4,1.9,0.044,156,reviewed,us,us
2020-02-17T03:33:15.482Z,51.2379,-178.1517,35,4.7,mwr,,122,0.876,1.13,us,us70007rm3,2020-02-17T07:36:53.044Z,"66km E of Amatignak Island, Alaska",earthquake,7.3,1.9,0.089,12,reviewed,us,us
2020-02-17T00:28:15.109Z,-33.0788,179.9482,149.3,5.5,mww,,24,4.232,0.75,us,us70007rk0,2020-02-18T03:32:08.464Z,"212km SSW of L'Esperance Rock, New Zealand",earthquake,4.6,4.7,0.08,15,reviewed,us,us
2020-02-16T22:05:45.219Z,-21.9538,-68.5344,107.07,5.2,mwr,,43,0.675,1.04,us,us70007rhe,2020-02-16T23:34:56.040Z,"70km NE of Calama, Chile",earthquake,5.4,4.4,0.05,39,reviewed,us,us
2020-02-16T18:02:15.605Z,38.5411,44.3777,10,4.7,mb,,74,1.06,1.06,us,us70007rei,2020-02-17T00:38:20.585Z,"21km ESE of Saray, Turkey",earthquake,5.1,1.9,0.06,83,reviewed,us,us
2020-02-16T15:32:48.070Z,-15.2185,-173.9491,99.53,4.6,mb,,77,2.473,0.45,us,us70007rcq,2020-02-16T17:02:37.040Z,"83km NNW of Hihifo, Tonga",earthquake,11.3,7.8,0.074,59,reviewed,us,us
2020-02-16T12:30:47.350Z,27.1028,55.7703,10,5.1,mww,,54,2.183,0.8,us,us70007rb0,2020-02-18T19:38:11.040Z,"51km W of Bandar 'Abbas, Iran",earthquake,7.2,1.8,0.093,11,reviewed,us,us
2020-02-16T12:24:54.326Z,27.2948,55.7733,10,4.6,mb,,237,8.992,0.87,us,us70007raz,2020-02-16T12:49:45.040Z,"51km WNW of Bandar 'Abbas, Iran",earthquake,12.3,2,0.08,47,reviewed,us,us
2020-02-16T11:18:12.996Z,28.6017,142.6901,10,4.9,mb,,136,1.565,0.76,us,us70007rab,2020-02-16T11:34:13.040Z,"174km NNE of Chichi-shima, Japan",earthquake,8.9,1.9,0.085,44,reviewed,us,us
